"x","y","dtime","lc","delta.t"
74212.0039515753,839492.394007989,1995-10-14 22:03:00,"B",0.2
73188.8887035712,833442.368127251,1995-10-14 23:28:00,"3",1.41666666666667
75574.8628352002,814837.37731666,1995-10-15 01:10:00,"B",1.7
77208.215670021,795552.006629274,1995-10-15 02:56:00,"B",1.76666666666667
67976.4559912002,826984.131156827,1995-10-15 04:37:00,"A",1.68333333333333
59432.2067265042,833547.660737211,1995-10-15 11:42:00,"A",7.08333333333333
56571.7438037313,820217.283612108,1995-10-16 01:00:00,"B",13.3
-228183.230079642,979892.241452613,1995-10-16 18:06:00,"B",17.1
11119.3640393126,855118.296698293,1995-10-16 21:19:00,"B",3.21666666666667
116241.972780195,792808.848293623,1995-10-17 19:23:00,"B",22.0666666666667
66670.0184199664,833439.239650676,1995-10-18 05:12:00,"A",9.81666666666667
67983.2974607188,823075.730407592,1995-10-18 06:53:00,"A",1.68333333333333
66434.6017136059,833211.935511434,1995-10-18 11:09:00,"0",4.26666666666667
70237.5224075837,834617.560559818,1995-10-18 17:19:00,"0",6.16666666666667
72333.5445597832,834431.83642696,1995-10-18 18:59:00,"0",1.66666666666667
66720.4247355932,833998.48448194,1995-10-18 21:05:00,"A",2.1
65394.2314191727,834646.495544856,1995-10-19 16:57:00,"2",19.8666666666667
66696.2636816103,831876.179805804,1995-10-20 12:28:00,"1",19.5166666666667
67828.8692198966,832118.715892222,1995-10-20 14:09:00,"2",1.68333333333333
353265.381367652,638004.90442958,1995-10-20 18:12:00,"B",4.05
46320.5706876492,875480.380336301,1995-10-20 19:57:00,"B",1.75
29665.2226210186,733651.515851302,1995-10-20 22:23:00,"B",2.43333333333333
66782.3437828593,830314.145642295,1995-10-21 12:16:00,"1",13.8833333333333
66178.4127673229,830639.070803514,1995-10-21 14:01:00,"A",1.75
91893.0775627962,829028.493809154,1995-10-21 15:38:00,"B",1.61666666666667
66044.6968499017,824271.463843187,1995-10-21 16:14:00,"A",0.6
64394.3519104319,829939.705240422,1995-10-21 17:53:00,"A",1.65
65280.9568223198,830624.224701712,1995-10-21 19:34:00,"0",1.68333333333333
66292.2165502259,827402.393434333,1995-10-21 22:14:00,"B",2.66666666666667
66997.5945567741,828195.933978639,1995-10-22 12:06:00,"1",13.8666666666667
60974.6460163773,834352.789829172,1995-10-22 19:12:00,"1",7.1
17470.2612680827,871113.233424538,1995-10-23 06:42:00,"B",11.5
139659.187589821,821593.813529372,1995-10-23 11:59:00,"B",5.28333333333333
66638.3249850259,831763.529586656,1995-10-23 13:37:00,"1",1.63333333333333
72041.9217830453,820802.020318891,1995-10-23 15:19:00,"B",1.7
69049.8794335426,834149.998007655,1995-10-23 17:09:00,"0",1.83333333333333
66601.5548974832,801613.868571403,1995-10-23 21:51:00,"B",4.7
59934.0838797411,831991.74369246,1995-10-24 01:14:00,"B",3.38333333333333
101586.376457479,829376.102322318,1995-10-24 01:24:00,"B",0.166666666666667
64985.4558490251,830396.029151778,1995-10-24 02:59:00,"A",1.58333333333333
60986.6508079235,833571.232794293,1995-10-24 13:27:00,"0",10.4666666666667
70964.786338161,830721.673446514,1995-10-24 15:05:00,"A",1.63333333333333
62469.0007635169,834376.024599561,1995-10-24 18:27:00,"1",3.36666666666667
60735.548449475,834349.124469681,1995-10-24 21:42:00,"1",3.25
66862.5406903702,832660.723508262,1995-10-25 02:39:00,"2",4.95
56216.552481852,828363.891111503,1995-10-25 05:59:00,"0",3.33333333333333
56095.182387335,832717.390981656,1995-10-25 06:00:00,"0",0.0166666666666667
69403.3750381782,831029.127476003,1995-10-25 13:15:00,"1",7.25
70059.4738247856,831152.321600633,1995-10-25 13:16:00,"0",0.0166666666666667
68635.2974489248,833919.447037167,1995-10-25 14:55:00,"3",1.65
68635.2974489248,833919.447037167,1995-10-25 14:56:00,"3",0.0166666666666667
66043.9030131315,831530.247400873,1995-10-26 13:04:00,"0",22.1333333333333
67550.7089753158,830885.518427066,1995-10-26 14:46:00,"1",1.7
65670.9072877295,835991.23123842,1995-10-26 16:03:00,"B",1.28333333333333
71092.0595061144,836978.130086113,1995-10-26 16:23:00,"A",0.333333333333333
326616.109145926,821239.510192185,1995-10-26 22:59:00,"B",6.6
78833.3828135012,811103.810626375,1995-10-27 00:40:00,"B",1.68333333333333
64999.6003796632,833188.18629598,1995-10-27 01:57:00,"1",1.28333333333333
66883.2173387809,831432.612324154,1995-10-27 14:34:00,"1",12.6166666666667
